year,month,region,county,branch_name,established_on,operational_cost,staff_bonuses,misc_expenses,waste_cost
2011,1,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3261,356,3873,3284
2011,2,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2433,374,8952,4082
2011,3,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3240,252,6924,4302
2011,4,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2880,397,8448,6419
2011,5,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2365,340,8109,4629
2011,6,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2362,380,4853,4272
2011,7,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3431,339,7746,4078
2011,8,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2108,306,4974,2588
2011,9,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3211,356,2738,5310
2011,10,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3499,347,5198,4425
2011,11,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2893,366,4042,2535
2011,12,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2426,396,7725,5459
2012,1,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2372,215,6904,3394
2012,2,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2958,262,2671,3592
2012,3,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2306,306,2730,3432
2012,4,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2342,281,6754,3714
2012,5,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3044,394,7784,5829
2012,6,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2979,364,2738,4018
2012,7,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2356,276,6848,6273
2012,8,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3187,378,4900,3782
2012,9,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2739,380,5851,3795
2012,10,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3294,369,5969,5115
2012,11,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2791,211,6083,2123
2012,12,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3147,322,6995,5364
2013,1,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2469,294,6281,2564
2013,2,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3358,344,4679,6419
2013,3,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3479,253,3880,2897
2013,4,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2085,350,6120,5958
2013,5,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2472,278,8039,4325
2013,6,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2041,261,2183,4935
2013,7,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2651,400,2434,3546
2013,8,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2701,350,5768,6321
2013,9,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2117,222,4403,5167
2013,10,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2231,330,3274,4962
2013,11,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2553,226,6751,5873
2013,12,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2470,255,7450,2154
2014,1,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2818,277,5268,5320
2014,2,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3085,378,9036,3725
2014,3,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2550,256,6030,5329
2014,4,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3143,240,8084,4479
2014,5,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2722,334,3365,4037
2014,6,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2458,369,4845,6391
2014,7,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2814,246,5288,5050
2014,8,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2562,387,2417,6472
2014,9,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2415,325,5916,3295
2014,10,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2789,363,7799,2173
2014,11,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2644,326,6295,2030
2014,12,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2778,325,6937,5315
2015,1,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2602,280,3208,3453
2015,2,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2101,278,6808,2181
2015,3,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2841,340,5030,2357
2015,4,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2879,322,5940,3030
2015,5,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3190,260,3044,2646
2015,6,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2294,358,3281,5444
2015,7,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2441,358,2768,4156
2015,8,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2775,349,3462,6229
2015,9,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2003,395,7327,2848
2015,10,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2167,330,8519,2884
2015,11,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3456,268,9316,2454
2015,12,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2725,322,3605,6488
2016,1,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2557,269,2119,3870
2016,2,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2552,386,4413,2604
2016,3,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2401,275,5660,5929
2016,4,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3127,368,8879,4584
2016,5,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2764,267,7649,4417
2016,6,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2486,376,9241,2254
2016,7,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2399,206,2970,2780
2016,8,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3410,275,8157,4094
2016,9,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2076,236,5608,2236
2016,10,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3319,278,4043,2603
2016,11,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3003,364,9292,4252
2016,12,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2094,291,5439,2257
2017,1,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3180,221,7752,4426
2017,2,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3055,204,2357,2619
2017,3,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2615,231,4963,3589
2017,4,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2273,242,7072,3243
2017,5,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3331,228,9175,3819
2017,6,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3377,323,4891,2633
2017,7,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2980,365,7099,2456
2017,8,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3061,273,4388,5975
2017,9,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2957,271,8576,5331
2017,10,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2214,252,4264,2682
2017,11,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2710,267,8529,6131
2017,12,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2744,201,3791,6386
2018,1,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2739,280,3767,5402
2018,2,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2175,368,8752,5072
2018,3,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2992,296,8492,2472
2018,4,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2640,382,4729,5913
2018,5,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2560,264,7922,2828
2018,6,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3113,371,9254,2843
2018,7,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2727,306,6658,4650
2018,8,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2508,234,4300,6049
2018,9,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3156,278,5952,2794
2018,10,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3055,249,3538,2242
2018,11,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2222,313,7973,5947
2018,12,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2257,231,7145,4139
2019,1,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2245,314,7532,4002
2019,2,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2451,243,3374,2821
2019,3,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2147,242,2515,4687
2019,4,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2651,397,4015,2017
2019,5,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2723,339,7305,5864
2019,6,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3019,232,3463,3240
2019,7,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3268,276,5046,3380
2019,8,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3131,222,8010,2606
2019,9,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3392,343,3407,4388
2019,10,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2822,203,3500,2194
2019,11,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3461,384,7446,4102
2019,12,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2984,392,2086,6297
2020,1,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3033,384,4122,2413
2020,2,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2455,392,5143,6124
2020,3,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3308,315,3685,5574
2020,4,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2392,309,9137,2151
2020,5,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2821,368,7548,5340
2020,6,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3072,391,6745,4220
2020,7,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,3387,237,8807,2706
2020,8,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2254,334,5061,5244
2020,9,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2470,397,3812,3919
2020,10,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2264,217,5984,5884
2020,11,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2313,263,7882,2726
2020,12,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010,2117,371,7825,5374
2010,1,West Midlands,Warwickshire,Warwickshire branch,2010,3192,320,2077,3936
2010,2,West Midlands,Warwickshire,Warwickshire branch,2010,2420,258,2723,3289
2010,3,West Midlands,Warwickshire,Warwickshire branch,2010,2892,266,4551,3002
2010,4,West Midlands,Warwickshire,Warwickshire branch,2010,2407,324,7867,5078
2010,5,West Midlands,Warwickshire,Warwickshire branch,2010,3416,393,7065,2121
2010,6,West Midlands,Warwickshire,Warwickshire branch,2010,2490,350,2028,2237
2010,7,West Midlands,Warwickshire,Warwickshire branch,2010,2612,354,7552,2087
2010,8,West Midlands,Warwickshire,Warwickshire branch,2010,2186,275,5708,5307
2010,9,West Midlands,Warwickshire,Warwickshire branch,2010,3095,259,3818,3151
2010,10,West Midlands,Warwickshire,Warwickshire branch,2010,2373,297,3130,3603
2010,11,West Midlands,Warwickshire,Warwickshire branch,2010,2757,389,3442,5083
2010,12,West Midlands,Warwickshire,Warwickshire branch,2010,3086,381,7351,6205
2011,1,West Midlands,Warwickshire,Warwickshire branch,2010,2290,211,6947,4802
2011,2,West Midlands,Warwickshire,Warwickshire branch,2010,3319,237,2988,5674
2011,3,West Midlands,Warwickshire,Warwickshire branch,2010,2837,340,8937,4877
2011,4,West Midlands,Warwickshire,Warwickshire branch,2010,2977,379,3557,4823
2011,5,West Midlands,Warwickshire,Warwickshire branch,2010,3395,300,8482,2063
2011,6,West Midlands,Warwickshire,Warwickshire branch,2010,3088,213,4071,5726
2011,7,West Midlands,Warwickshire,Warwickshire branch,2010,2751,273,2381,3874
2011,8,West Midlands,Warwickshire,Warwickshire branch,2010,2019,202,2938,4493
2011,9,West Midlands,Warwickshire,Warwickshire branch,2010,2144,396,3766,2262
2011,10,West Midlands,Warwickshire,Warwickshire branch,2010,2236,380,9455,3488
2011,11,West Midlands,Warwickshire,Warwickshire branch,2010,2607,392,7883,4049
2011,12,West Midlands,Warwickshire,Warwickshire branch,2010,3244,343,5338,2109
2012,1,West Midlands,Warwickshire,Warwickshire branch,2010,2990,268,7177,5318
2012,2,West Midlands,Warwickshire,Warwickshire branch,2010,2264,222,8344,5865
2012,3,West Midlands,Warwickshire,Warwickshire branch,2010,2615,229,5173,2116
2012,4,West Midlands,Warwickshire,Warwickshire branch,2010,3154,228,8485,6186
2012,5,West Midlands,Warwickshire,Warwickshire branch,2010,2056,269,6766,4071
2012,6,West Midlands,Warwickshire,Warwickshire branch,2010,2538,351,2026,2480
2012,7,West Midlands,Warwickshire,Warwickshire branch,2010,2050,220,4521,2221
2012,8,West Midlands,Warwickshire,Warwickshire branch,2010,2788,312,7873,4008
2012,9,West Midlands,Warwickshire,Warwickshire branch,2010,2846,298,8904,2070
2012,10,West Midlands,Warwickshire,Warwickshire branch,2010,2028,258,7901,3318
2012,11,West Midlands,Warwickshire,Warwickshire branch,2010,2838,283,7306,5079
2012,12,West Midlands,Warwickshire,Warwickshire branch,2010,2009,212,2626,5779
2013,1,West Midlands,Warwickshire,Warwickshire branch,2010,2206,265,2823,5425
2013,2,West Midlands,Warwickshire,Warwickshire branch,2010,2421,203,9247,3166
2013,3,West Midlands,Warwickshire,Warwickshire branch,2010,2085,318,4707,6239
2013,4,West Midlands,Warwickshire,Warwickshire branch,2010,2070,397,3337,6430
2013,5,West Midlands,Warwickshire,Warwickshire branch,2010,2721,212,4449,3985
2013,6,West Midlands,Warwickshire,Warwickshire branch,2010,2520,370,3632,2873
2013,7,West Midlands,Warwickshire,Warwickshire branch,2010,2852,362,6455,2767
2013,8,West Midlands,Warwickshire,Warwickshire branch,2010,2377,252,7461,5622
2013,9,West Midlands,Warwickshire,Warwickshire branch,2010,3424,368,8934,4419
2013,10,West Midlands,Warwickshire,Warwickshire branch,2010,2612,399,5676,3368
2013,11,West Midlands,Warwickshire,Warwickshire branch,2010,2648,287,3689,2678
2013,12,West Midlands,Warwickshire,Warwickshire branch,2010,2129,230,8405,4113
2014,1,West Midlands,Warwickshire,Warwickshire branch,2010,3267,370,2068,2445
2014,2,West Midlands,Warwickshire,Warwickshire branch,2010,3070,264,2144,2268
2014,3,West Midlands,Warwickshire,Warwickshire branch,2010,2818,387,4193,5768
2014,4,West Midlands,Warwickshire,Warwickshire branch,2010,3028,232,3177,5722
2014,5,West Midlands,Warwickshire,Warwickshire branch,2010,2073,222,6375,4686
2014,6,West Midlands,Warwickshire,Warwickshire branch,2010,2086,391,2018,2742
2014,7,West Midlands,Warwickshire,Warwickshire branch,2010,2783,302,4950,6501
2014,8,West Midlands,Warwickshire,Warwickshire branch,2010,3225,396,2646,5124
2014,9,West Midlands,Warwickshire,Warwickshire branch,2010,3092,358,6260,6311
2014,10,West Midlands,Warwickshire,Warwickshire branch,2010,2586,370,4728,3329
2014,11,West Midlands,Warwickshire,Warwickshire branch,2010,2848,204,2586,5171
2014,12,West Midlands,Warwickshire,Warwickshire branch,2010,2304,244,3687,3183
2015,1,West Midlands,Warwickshire,Warwickshire branch,2010,2842,278,7264,6294
2015,2,West Midlands,Warwickshire,Warwickshire branch,2010,2660,303,6952,5280
2015,3,West Midlands,Warwickshire,Warwickshire branch,2010,2193,358,7058,4514
2015,4,West Midlands,Warwickshire,Warwickshire branch,2010,2182,247,7681,3022
2015,5,West Midlands,Warwickshire,Warwickshire branch,2010,2744,367,2857,2460
2015,6,West Midlands,Warwickshire,Warwickshire branch,2010,3467,316,3846,4906
2015,7,West Midlands,Warwickshire,Warwickshire branch,2010,3467,235,5587,3273
2015,8,West Midlands,Warwickshire,Warwickshire branch,2010,2377,218,7215,4890
2015,9,West Midlands,Warwickshire,Warwickshire branch,2010,2522,238,5064,3245
2015,10,West Midlands,Warwickshire,Warwickshire branch,2010,3445,251,7585,6319
2015,11,West Midlands,Warwickshire,Warwickshire branch,2010,2131,387,6150,4397
2015,12,West Midlands,Warwickshire,Warwickshire branch,2010,3084,227,6770,2129
2016,1,West Midlands,Warwickshire,Warwickshire branch,2010,2446,257,3397,2569
2016,2,West Midlands,Warwickshire,Warwickshire branch,2010,3079,391,3516,5352
2016,3,West Midlands,Warwickshire,Warwickshire branch,2010,3409,247,7182,6234
2016,4,West Midlands,Warwickshire,Warwickshire branch,2010,2476,233,6185,6453
2016,5,West Midlands,Warwickshire,Warwickshire branch,2010,2486,261,9359,4941
2016,6,West Midlands,Warwickshire,Warwickshire branch,2010,2251,337,4684,3834
2016,7,West Midlands,Warwickshire,Warwickshire branch,2010,2897,214,9361,3654
2016,8,West Midlands,Warwickshire,Warwickshire branch,2010,2313,376,8909,6277
2016,9,West Midlands,Warwickshire,Warwickshire branch,2010,2038,280,5208,5389
2016,10,West Midlands,Warwickshire,Warwickshire branch,2010,3423,391,4837,6135
2016,11,West Midlands,Warwickshire,Warwickshire branch,2010,3089,400,8940,3383
2016,12,West Midlands,Warwickshire,Warwickshire branch,2010,2338,291,7359,2916
2017,1,West Midlands,Warwickshire,Warwickshire branch,2010,3245,267,4691,6283
